STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Virginia,130230,102836,1649597,1655662,254.63,409903680,19213
Washington,126959,41110,1689685,1474310,413.47,550207339,5640
West Virginia,16709,10536,313518,354573,236.70,78723959,2020
Wisconsin,112520,19034,1007530,776314,290.03,199937157,3781
Wyoming,7125,3448,64316,74036,395.47,28493272,622
United States,6640918,3159178,77460272,75424434,305.96,22065895061,606117
Alabama,82427,28401,437841,373752,260.09,94070046,50345
Alaska,28401,3688,148924,148267,243.45,34209214,2856
Arizona,91992,26556,930076,812791,240.68,189249834,6734
Arkansas,64626,19959,375380,289331,221.24,58314400,26293
California,1155937,367962,12226909,11969956,282.37,3196525145,152324
Colorado,37658,28991,938053,918436,365.04,322934693,12978
Connecticut,49281,32192,975139,946293,291.93,254791773,5440
Delaware,12524,3861,179049,163714,236.64,37355360,783
District of Columbia,12557,5806,269782,259813,351.14,87074999,972
Florida,434227,219391,3399620,2888099,230.10,645191959,283239
Georgia,490081,84596,2928460,2534085,256.61,624604735,8571
Hawaii,30068,13871,532766,534620,450.96,234161068,743
Idaho,19658,4015,111666,100462,297.86,25759783,4020
Illinois,150069,85851,2522833,2570767,316.14,805427735,13311
Indiana,169700,35014,905254,839514,230.12,187122769,2512
Iowa,36935,17094,469922,533773,328.70,159874931,10583
Kansas,44159,24895,348886,323282,341.10,106432784,5731
Kentucky,105013,12735,601272,570939,282.55,161672356,2365
Louisiana,95734,38644,1254757,1321271,180.68,232398199,1933
Maine,11208,8055,260339,250592,294.53,71115306,3497
Maryland,89343,21816,981254,784969,308.98,230995326,3689
Massachusetts,81942,52849,2057584,2120854,401.55,798104743,16192
Michigan,98353,71292,2205752,2229930,303.99,617054470,16178
Minnesota,76211,481,1262795,1191047,376.66,424219364,16360
Mississippi,42618,24293,634327,552998,182.44,96721128,7034
Missouri,81694,21041,731064,667261,240.32,149843010,7726
Montana,9193,633,143755,110346,332.02,29041904,2656
Nebraska,19060,3972,196182,182065,273.90,47698116,2186
Nevada,66698,34857,1324848,1250023,369.42,436809471,12604
New Hampshire,26631,5821,162364,169710,255.15,40634469,506
New Jersey,136475,63857,2160216,1972990,402.82,744907369,19241
New Mexico,15481,9820,373667,346345,319.88,104702216,2182
New York,528727,151914,6685295,6245038,337.10,1942272740,23782
North Carolina,129588,47786,957803,812028,218.20,158763725,95435
North Dakota,6172,3233,103425,114889,441.74,49273879,2992
Ohio,119804,36749,1598338,1348998,324.06,416206691,4
Oklahoma,30346,13039,504703,479994,322.29,154673859,2608
Oregon,39209,36775,766675,762745,354.70,263361473,5455
Pennsylvania,166189,84880,2973071,2883547,334.60,884894186,15838
Puerto Rico,29612,32730,865533,815663,170.75,138429564,2713
Rhode Island,14982,6603,249399,241902,310.88,71519660,2522
South Carolina,64386,21345,808918,699046,230.64,161805631,8291
South Dakota,4538,1767,63176,50055,284.78,13290798,246
Tennessee,85636,16981,1005784,917742,210.44,191019225,19403
Texas,389724,167034,5405681,5086313,353.57,1658289694,5735
